title,score,date,comments
Reliability: Itâ€™s Not Great,707 points,2023-03-06T17:47:28,281 comments
Cabel Sasser: Untitled Goose Game rejected from the Mac App Store twice,52 points,2023-03-07T00:41:01,20 comments
Nalanda University flourished for more than seven centuries,176 points,2023-03-03T13:08:43,118 comments
Purple-Teams: MS Teams Plugin for Pidgin (2022),96 points,2023-03-06T04:46:50,38 comments
Shiki Syntax Highlighter,16 points,2023-03-07T00:07:49,4 comments
Show HN: Total.js â€“ Low-code development (Node-RED alternative),137 points,2023-03-06T19:09:55,50 comments
Word-as-image for semantic typography,143 points,2023-03-06T03:28:36,24 comments
Want an unfair advantage in your tech career? Consume content for other roles,378 points,2023-03-06T12:27:06,194 comments
You just gotta tell a good story,30 points,2023-03-05T13:31:01,15 comments
Launch HN: Vellum (YC W23) â€“ Dev Platform for LLM Apps,98 points,2023-03-06T16:20:38,31 comments
Domain Names as Handles in Bluesky,5 points,2023-03-07T01:31:37,discuss
I spent a week without IPv4 to understand IPv6 transition mechanisms,219 points,2023-03-06T15:06:14,309 comments
Cargo cult science (1974),143 points,2023-03-06T14:41:04,108 comments
Autonomous restructuring of asteroids into rotating space stations,91 points,2023-03-06T17:06:42,39 comments
"Show HN: Roastedby.ai â€“ Talk some trash, have some fun",6 points,2023-03-07T00:55:26,3 comments
Google tells employees that fewer of them will get promotions to senior roles,37 points,2023-03-07T00:01:36,32 comments
Cross-Domain Thinking Drives Insights and Innovation,18 points,2023-03-06T22:18:05,2 comments
Inverted computer culture: A thought experiment,142 points,2023-03-04T07:59:09,95 comments
Rux: A JSX-inspired way to render view components in Ruby,101 points,2023-03-06T18:18:37,22 comments
Kern and Co. AG: Instruction for the Use of the Dotting Pen 1069 [pdf],11 points,2023-03-05T13:26:53,1 comment
Willy 'N Ethel,3 points,2023-03-05T06:58:08,1 comment
The Waluigi Effect,280 points,2023-03-06T15:50:17,144 comments
"Skio (YC S20) Is Hiring â€“ Subscriptions for Shopify, ReCharge migrations",0 points,2023-03-06T17:00:12,hide
"Five ways to soothe a mind overstimulated by anxiety, stress and information",30 points,2023-03-06T23:31:06,27 comments
"Autonomous tech boom darling Embark goes belly-up, lays off hundreds",10 points,2023-03-07T00:50:39,6 comments
Europe's big tech bill is coming to fruition,96 points,2023-03-06T20:40:18,69 comments
GPT-3 will ignore tools when it disagrees with them,15 points,2023-03-06T21:21:17,4 comments
Cities: Skylines II,335 points,2023-03-06T17:41:06,191 comments
Show HN: Sorbay â€“ Open-source alternative to Loom,63 points,2023-03-06T16:05:21,10 comments
Pedestrian Traffic Fatalities by State: 2022 Preliminary Data,52 points,2023-03-06T21:58:40,42 comments
